Date,Opponent,Score,Stadium,City
11/4/2017,AngersANGERS (2-7-3),W 5 - 0,"Stade Raymond KopaAngers, France",Other
11/18/2017,NantesNANTES (7-2-4),W 4 - 1,"Parc des PrincesParis, France",Paris
11/22/2017,CelticCELTIC (1-0-4),W 7 - 1,"Parc des PrincesParis, France",Paris
11/26/2017,MonacoMONACO (9-2-3),W 2 - 1,"Stade Louis IIFontvieille, Monaco",Other
11/29/2017,TroyesTROYES (5-3-7),W 2 - 0,"Parc des PrincesParis, France",Paris
12/2/2017,STRASBOURG (4-6-6),L 1 - 2,"Stade de la MeinauStrasbourg, France",Other
12/5/2017,Bayern MunichBAYERN MUNICH (5-0-1),L 1 - 3,"Allianz ArenaMunich, Germany",Other
12/9/2017,LilleLILLE (5-3-9),W 3 - 1,"Parc des PrincesParis, France",Paris
12/16/2017,RennesRENNES (7-4-7),W 4 - 1,"Roazhon ParkRennes, France",Other
12/20/2017,CaenCAEN (7-3-9),W 3 - 1,"Parc des PrincesParis, France",Paris
1/14/2018,NantesNANTES (10-3-7),W 1 - 0,"Stade de la Beaujoire - Louis FonteneauNantes, France",Other
1/17/2018,DIJON (7-4-10),W 8 - 0,"Parc des PrincesParis, France",Paris
1/21/2018,LyonLYON (14-6-2),L 1 - 2,"Groupama StadiumLyon, France",Other
1/27/2018,MontpellierMONTPELLIER (7-10-6),W 4 - 0,"Parc des PrincesParis, France",Paris
2/3/2018,LilleLILLE (7-4-13),W 3 - 0,"Stade Pierre MauroyVilleneuve-d'Ascq, France",Other
2/10/2018,ToulouseTOULOUSE (7-5-13),W 1 - 0,"Stadium de ToulouseToulouse, France",Other
2/14/2018,Real MadridREAL MADRID (1-0-0),L 1 - 3,"Santiago BernabéuMadrid, Spain",Other
2/17/2018,STRASBOURG (8-6-12),W 5 - 2,"Parc des PrincesParis, France",Paris
2/25/2018,MarseilleMARSEILLE (16-7-4),W 3 - 0,"Parc des PrincesParis, France",Paris
