Date,Opponent,Score,Stadium,City
11/22/2017,JuventusJUVENTUS (2-2-1),D 0 - 0,Allianz StadiumItaly,Other
11/26/2017,ValenciaVALÈNCIA (9-4-0),D 1 - 1,MestallaSpain,Other
12/2/2017,Celta VigoCELTA VIGO (5-3-6),D 2 - 2,Camp NouSpain,Barcelona
12/5/2017,Sporting CPSPORTING CP (2-1-3),W 2 - 0,Camp NouSpain,Barcelona
12/10/2017,VillarrealVILLARREAL (6-3-6),W 2 - 0,Estadio de la CerámicaSpain,Other
12/17/2017,DeportivoDEPORTIVO (4-3-9),W 4 - 0,Camp NouSpain,Barcelona
12/23/2017,Real MadridREAL MADRID (9-4-3),W 3 - 0,Santiago BernabéuSpain,Other
1/7/2018,LevanteLEVANTE (3-9-6),W 3 - 0,Camp NouSpain,Barcelona
1/14/2018,Real SociedadREAL SOCIEDAD (6-5-8),W 4 - 2,AnoetaSpain,Other
1/21/2018,BetisBETIS (8-3-9),W 5 - 0,Benito VillamarínSpain,Other
1/28/2018,AlavésALAVÉS (6-1-14),W 2 - 1,Camp NouSpain,Barcelona
2/4/2018,EspanyolESPANYOL (6-7-9),D 1 - 1,RCDE StadiumSpain,Barcelona
2/11/2018,GetafeGETAFE (7-9-7),D 0 - 0,Camp NouSpain,Barcelona
2/17/2018,EibarEIBAR (10-5-9),W 2 - 0,Municipal de IpuruaSpain,Other
2/20/2018,ChelseaCHELSEA (0-1-0),D 1 - 1,"Stamford BridgeLondon, England",Other
2/24/2018,GironaGIRONA (9-7-9),W 6 - 1,Camp NouSpain,Barcelona
