Date,Opponent,Score,Stadium,City
10/18/2017,RomaROMA (1-2-0),D 3 - 3,"Stamford BridgeLondon, England",London
10/21/2017,WatfordWATFORD (4-3-2),W 4 - 2,"Stamford BridgeLondon, England",London
10/28/2017,BournemouthBOURNEMOUTH (2-1-7),W 1 - 0,"Vitality StadiumBournemouth, England",Other
10/31/2017,RomaROMA (2-2-0),L 0 - 3,"OlimpicoRome, Italy",Other
11/5/2017,Manchester UtdMANCHESTER UNITED (7-2-2),W 1 - 0,"Stamford BridgeLondon, England",London
11/18/2017,West BromWEST BROMWICH ALBION (2-4-6),W 4 - 0,"The HawthornsWest Bromwich, England",Other
11/22/2017,FK QarabagFK QARABAG (0-2-3),W 4 - 0,"Baku National StadiumBaku, Azerbaijan",Other
11/25/2017,LiverpoolLIVERPOOL (6-5-2),D 1 - 1,"AnfieldLiverpool, England",Other
11/29/2017,Swansea CitySWANSEA CITY (2-3-9),W 1 - 0,"Stamford BridgeLondon, England",London
12/2/2017,NewcastleNEWCASTLE UNITED (4-3-8),W 3 - 1,"Stamford BridgeLondon, England",London
12/5/2017,Atlético MadridATLÉTICO MADRID (1-4-1),D 1 - 1,"Stamford BridgeLondon, England",London
12/9/2017,West HamWEST HAM UNITED (3-4-9),L 0 - 1,"Olympic StadiumLondon, England",London
12/12/2017,HuddersfieldHUDDERSFIELD TOWN (5-3-9),W 3 - 1,"John Smith's StadiumHuddersfield, England",Other
12/16/2017,SouthamptonSOUTHAMPTON (4-6-8),W 1 - 0,"Stamford BridgeLondon, England",London
12/23/2017,EvertonEVERTON (7-5-7),D 0 - 0,"Goodison ParkLiverpool, England",Other
12/26/2017,BrightonBRIGHTON & HOVE ALBION (5-6-9),W 2 - 0,"Stamford BridgeLondon, England",London
12/30/2017,Stoke CitySTOKE CITY (5-5-11),W 5 - 0,"Stamford BridgeLondon, England",London
1/3/2018,ArsenalARSENAL (11-6-5),D 2 - 2,"Emirates StadiumLondon, England",London
1/13/2018,Leicester CityLEICESTER CITY (8-7-8),D 0 - 0,"Stamford BridgeLondon, England",London
1/20/2018,BrightonBRIGHTON & HOVE ALBION (5-8-11),W 4 - 0,"American Express Community StadiumFalmer, England",Other
1/31/2018,BournemouthBOURNEMOUTH (7-7-11),L 0 - 3,"Stamford BridgeLondon, England",London
2/20/2018,BarcelonaBARCELONA (0-1-0),D 1 - 1,"Stamford BridgeLondon, England",London
